,,All Donors,Kidney,Liver,Heart,Pancreas,Lung,Intestine
050224-TX1 HOAG MEMORIAL HOSP PRESBYTERIA,,10,9,9,1,2,3,0
050226-NMB ANAHEIM REGIONAL MEDICAL CENTER,,3,3,3,1,0,2,0
050228-NMB San Francisco General Hospital and Trauma Center,,23,22,17,4,1,5,0
050230-NMB GARDEN GROVE HOSPITAL & MEDICAL CENTER,,1,1,1,1,0,1,0
050231-NMB POMONA VALLEY HOSPITAL MEDICAL CENTER,,40,37,31,10,4,13,0
050232-NMB French Hospital Medical Center,,2,2,2,0,0,0,0
050235-NMB ST JOSEPH MEDICAL CENTER,,8,8,7,2,0,2,0
050236-NMB SIMI VALLEY HOSPITAL,,2,2,0,0,0,1,0
050238-NMB METHODIST HOSPITAL,,3,1,3,0,0,0,0
050239-NMB GLENDALE ADVENTIST MED CTR,,5,5,2,0,0,1,0
050240-NMB CENTINELA HOSPITAL MEDICAL CTR,,9,7,8,0,1,2,1
050242-NMB DOMINICAN SANTA CRUZ HOSPITAL,,3,3,3,1,1,2,0
050243-NMB DESERT REGIONAL MEDICAL CENTER,,22,22,16,4,1,2,0
050245-TX1 SAN BERNARDINO CO MEDICAL CTR,,18,18,13,7,0,4,0
050248-NMB Natividad Medical Center,,5,5,2,4,0,0,0
050254-NMB MARSHALL HOSPITAL,,2,2,0,0,0,0,0
050261-NMB Sierra View Medical Center,,1,1,1,0,0,0,0
050262-TX1 U C L A HOSP CTR FOR HEALTH SC,,9,8,7,3,0,2,0
050270-NMB SCRIPPS MERCY - CHULA VISTA,,7,7,7,5,1,3,0
050276-NMB Contra Costa Regional Medical Center,,1,1,1,1,0,1,0
050278-NMB PROVIDENCE HOLY CROSS MEDICAL CENTER,,21,20,16,3,1,3,0
050280-NMB Mercy Medical Center Redding,,15,14,11,3,0,2,0
050283-N01 Stanford Healthcare - ValleyCare Medical Center,,2,2,2,2,0,1,0
050289-NMB Seton Medical Center,,1,0,1,0,0,0,0
050290-NMB PROVIDENCE SAINT JOHN'S HEALTH CENTER,,2,2,1,0,0,0,0
050291-NMB SUTTER SANTA ROSA REGIONAL HOSPITAL,,4,4,3,1,0,1,0
050292-NMB Riverside University Health System-Medical Center,,9,9,7,4,2,5,0
050295-N01 MERCY SOUTHWEST HOSPTIAL,,4,4,3,0,0,0,0
050295-NMB MERCY HOSPITAL OF BAKERSFIELD,,2,1,1,0,0,0,0
050300-NMB ST MARY DESERT VALLEY HOSPITAL,,4,3,4,0,0,0,0
050305-TX1 Alta Bates Summit Medical Center Alta Bates Campu,,2,2,1,0,0,0,0
050308-TX1 El Camino Hospital,,2,2,2,1,0,0,0
050309-NMB SUTTER ROSEVILLE MEDICAL CENTER,,11,11,6,2,1,3,0
050313-NMB Sutter Tracy Community Hospital,,1,1,1,1,0,0,0
050315-NMB KERN MEDICAL CENTER,,11,11,7,2,1,4,0
050320-NMB Highland Hospital,,11,11,10,2,0,4,0
050324-NMB SCRIPPS MEM HOSP - LA JOLLA,,18,18,12,8,0,10,0
050327-TX1 LOMA LINDA UNIVERSITY MED CTR,,23,21,21,4,2,4,0
050334-NMB Salinas Valley Memorial Hospital,,7,6,6,2,1,5,0
050335-NMB Sonora Regional Medical Center,,1,1,0,0,0,0,0
050336-NMB Lodi Memorial Hospital,,4,4,2,1,0,0,0
050348-TX1 UNIV OF CALIF-IRVINE MED CTR,,25,23,21,2,2,3,0
050351-NMB TORRANCE MEMORIAL MEDICAL CTR,,5,5,4,0,0,1,0
050353-NMB Providence Little Company of Mary Medical Center,,5,4,5,1,0,1,0
050360-NMB Marin General Hospital,,5,5,5,2,0,2,0
050367-NMB NorthBay Medical Center,,4,4,2,0,0,1,0
050369-NMB CITRUS VALLEY MEDICAL CENTER - QUEEN OF THE VALLE,,4,4,2,0,0,0,0
050373-TX1 USC MEDICAL CENTER-L.A. COUNTY,,29,28,23,11,4,10,0
050376-TX1 LA COUNTY HARBOR-UCLA MED CTR,,17,17,12,6,3,10,0
050380-NMB Good Samaritan Hospital,,10,10,6,1,0,2,0
050382-NMB INTER-COMMUNITY HOSITAL,,4,4,3,1,1,1,0
050390-NMB HEMET VALLEY MEDICAL CENTER,,2,2,2,0,0,0,0
050393-NMB PIH Health Hospital,,2,1,2,0,0,0,0
050394-NMB COMMUNITY MEMORIAL HOSPITAL,,4,4,3,1,0,1,0
050396-NMB SANTA BARBARA COTTAGE HOSPITAL,,5,5,5,1,1,3,0
050417-NMB Sutter Coast Hospital,,1,0,1,0,0,0,0
050425-NMB KAISER FOUNDATION HOSPITAL NORTH,,17,13,12,1,0,1,0
050426-NMB WEST ANAHEIM MEDICAL CENTER,,5,5,4,2,0,1,0
050432-NMB GARFIELD MEDICAL CENTER,,6,5,4,0,0,1,0
050438-NMB HUNTINGTON MEMORIAL HOSPITAL,,13,11,11,4,0,1,0
050441-TX1 Stanford Hospital and Clinics,,13,12,10,3,1,4,0
050444-NMB Mercy Medical Center Merced,,3,2,3,1,0,0,0
050454-N01 UCSF Medical Center at Mission Bay,,2,2,2,2,0,0,0
050454-TX1 UNIVERSITY OF CALIFORNIA,,11,9,7,2,1,2,0
050455-NMB SAN JOAQUIN COMMUNITY HOSPITAL,,10,10,7,0,0,2,0
050464-NMB Doctors Medical Center Modesto,,21,21,17,3,1,4,0
050468-NMB MEMORIAL HOSP OF GARDENA,,1,1,1,0,0,0,0
050471-NMB HOSP OF THE GOOD SAMARITAN,,11,11,9,4,1,6,0
050481-NMB WEST HILLS HOSPITAL & MEDICAL CENTER,,2,1,1,0,0,0,0
050485-NMB LONG BEACH MEMORIAL MEDICAL CENTER,,13,11,12,6,2,4,0
050488-NMB Eden Medical Center,,10,9,9,1,0,4,0
050489-NMB NORWALK COMMUNITY HOSP,,1,0,1,0,0,0,0
050492-NMB Clovis Community Medical Center,,3,3,2,0,0,1,0
050496-NMB John Muir Medical Center Concord Campus,,1,1,1,1,0,1,0
050498-NMB SUTTER AUBURN FAITH HOSP,,1,1,1,0,0,0,0
050506-NMB Sierra Vista Regional Medical Center,,4,4,3,1,0,0,0
050510-NMB Kaiser Foundation Hospital San Rafael,,1,1,1,1,0,0,0
050511-N01 LOS ALAMITOS MEDICAL CENTER,,4,4,4,0,0,0,0
050512-N01 Kaiser Foundation Hospital Fremont,,1,1,1,0,0,0,0
050516-NMB MERCY SAN JUAN HOSP,,27,24,19,8,1,11,0
050523-NMB Sutter Delta Medical Center,,1,1,1,0,0,0,0
050534-NMB JOHN F KENNEDY MEMORIAL HOSP,,5,4,4,2,0,2,0
050535-NMB South Coast Global Medical Center,,2,1,2,0,0,0,0
050541-NMB Kaiser Foundation Hospital Redwood City,,9,9,7,2,0,2,0
050549-NMB LOS ROBLES REGIONAL MED CTR,,8,8,6,1,0,1,0
050557-NMB Memorial Medical Center,,2,2,2,2,0,1,0
050567-NMB MISSION HOSPITAL,,15,15,11,3,1,5,0
050570-NMB FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTE,,5,5,5,2,0,1,0
050573-TX1 EISENHOWER MEMORIAL HOSPITAL,,6,6,5,0,0,1,0
050578-NMB MARTIN LUTHER KING JR COMMUNITY HOSPITAL,,2,2,1,0,0,0,0
050581-NMB LAKEWOOD REGIONAL MEDICAL CENTER,,10,10,6,1,0,4,0
050584-NMB MONTCLAIR HOSPITAL MEDICAL CENTER,,1,1,0,0,0,0,0
050589-NMB PLACENTIA-LINA COMMUNITY HOSP,,1,1,1,1,1,1,0
050590-NMB METHODIST HOSPITAL,,3,3,3,1,1,1,0
050597-NMB FOOTHILL PRESBYTERIAN HOSP,,1,1,0,1,0,0,0
050599-TX1 UNIV OF CA DAVIS MED CTR,,38,38,27,14,5,8,0
050603-NMB SADDLEBACK MEMORIAL MEDICAL CENTER - LAGUNA HILLS,,2,2,2,0,0,0,0
050604-NMB Kaiser Foundation Hospital San Jose,,4,4,3,0,0,1,0
050609-NMB KAISER PERMANENTE ANAHEIM MEDICAL CENTER,,3,3,2,0,0,0,0
050615-NMB GREATER EL MONTE COMM HOSP,,2,1,1,0,0,0,0
050624-NMB HENRY MAYO NEWHALL HOSPITAL,,4,3,3,0,0,1,0
050625-TX1 CEDARS-SINAI MEDICAL CENTER,,14,13,14,3,2,2,0
050630-NMB INLAND VALLEY MEDICAL CENTER,,6,6,5,1,2,2,0
050636-NMB POMERADO HOSPITAL,,2,2,2,2,1,0,0
050641-NMB EAST LOS ANGELES DOCTORS HOSPITAL,,1,1,1,0,0,0,0
050674-NMB KAISER FOUNDATION HOSP SO SACR,,12,12,10,3,0,4,0
050677-NMB KAISER PERMANENTE WOODLAND HILLS MEDICAL CENTER,,2,2,2,0,0,1,0
050678-NMB ORANGE COAST MEMORIAL MEDICAL CENTER,,6,5,3,0,0,0,0
050686-NMB KAISER PERMANENTE RIVERSIDE MEDICAL CENTER,,1,1,1,0,0,0,0
050689-NMB San Ramon Regional Medical Center,,5,4,3,0,0,1,0
050690-NMB Kaiser Foundation Hospital Santa Rosa,,1,1,1,0,0,0,0
050696-TX1 USC - UNIVERSITY HOSPITAL,,11,7,9,1,0,1,0
050701-NMB RANCHO SPRINGS MEDICAL CENTER,,1,0,1,0,0,0,0
050709-NMB DESERT VALLEY HOSPITAL,,4,3,3,0,0,0,0
050710-NMB Kaiser Foundation Hospital Fresno,,1,1,1,0,0,0,0
050746-TX1 Orange County Global Medical Center,,12,12,11,4,1,4,0
050748-N01 Kaiser Foundation Hospital Modesto,,2,2,1,0,0,0,0
050761-NMB PROVIDENCE TARZANA MEDICAL CENTER,,1,1,1,0,0,0,0
050764-NMB Shasta Regional Medical Center,,1,1,1,0,0,1,0
050767-NMB Kaiser Foundation Hospital Vacaville,,2,2,2,1,0,0,0
050770-NMB Loma Linda University Medical Center - Murrieta,,4,4,3,0,0,0,0
050775-NMB Temecula Valley Hospital,,6,6,4,1,0,0,0
050778-NMB Loma Linda University Children's Hospital,,5,4,4,4,1,1,0
051316-NMB Fairchild Medical Center,,1,1,1,0,0,0,0
053300-NMB Valley Children's Hospital,,4,3,1,2,1,0,0
053302-TX1 CHILDRENS HOSP OF LOS ANGELES,,3,3,3,1,0,3,0
053303-NMB RADY CHILDRENS HOSP & HEALTH CTR,,9,9,7,7,3,3,1
053304-NMB CHOC Children's,,9,8,3,7,0,0,1
053305-TX1 LUCILLE SALTER PACKARD CHILDREN'S HOSPITAL,,5,5,2,3,0,1,0
053511-NMB TRI CITY MEDICAL CENTER,,6,5,5,3,0,3,0
05US01-NMB SHRINERS HOSPITAL FOR CHILDREN,,1,1,0,1,0,0,0
060001-NMB North Colorado Medical Center,,11,10,8,7,0,2,0
060004-NMB Platte Valley Medical Center,,3,3,2,0,0,2,0
060009-NMB Lutheran Medical Center,,10,10,6,4,0,3,0
060010-NMB POUDRE VALLEY MEMORIAL HOSP,,1,1,1,1,0,0,0
060011-NMB Denver Health Medical Center,,21,21,18,12,1,9,1
060013-NMB Mercy Regional Medical Center (Durango),,2,2,2,2,0,1,0
060014-TX1 Presbyterian/St. Luke's Medical Center,,2,2,2,1,1,2,0
060015-N01 St. Anthony Hospital (Lakewood) *,,29,28,19,11,1,8,1
060020-NMB Parkview Medical Center,,8,8,6,2,1,2,0
060022-TX1 Memorial Hospital (CO Springs),,34,34,20,18,4,14,0
060023-NMB St. Mary's Hospital and Medical Center Grand Junc,,9,9,5,5,1,2,0
060024-TX1 University of Colorado Hospital,,38,36,24,18,4,12,0
060027-N01 Boulder Community Health Foothills,,3,2,2,2,1,2,0
060028-NMB St. Joseph Hospital,,5,4,4,0,0,0,0
060030-NMB McKee Medical Center,,1,1,0,0,0,0,0
060031-N01 St. Francis Medical Center,,1,1,1,1,0,0,0
060031-NMB Penrose Main Hospital,,19,19,13,7,3,5,0
060032-NMB Rose Medical Center,,3,3,3,0,0,2,0
060034-NMB Swedish Medical Center,,29,28,21,10,1,10,0
060064-TX1 Porter Adventist Hospital,,3,3,1,2,0,1,0
060065-NMB North Suburban Medical Center,,7,7,6,2,0,1,0
060087-NMB The Medical Center of Aurora,,12,8,10,6,3,3,0
060112-NMB Sky Ridge Medical Center,,4,4,4,4,0,2,0
060114-NMB Parker Adventist Hospital,,4,4,2,3,0,0,0
060119-NMB Medical Center Of The Rockies,,12,12,10,8,2,6,0
063301-N02 Children's Hospital Colorado at Memorial Hospital,,1,1,1,1,1,1,0
063301-TX1 THE CHILDRENS HOSP ASSOCIATION,,9,9,6,4,1,3,0
068816-NMB Good Samaritan Medical Center,,6,5,6,3,1,3,1
06X015-NMB St. Anthony North Health Campus,,2,2,2,2,0,1,0
06X064-NMB Littleton Adventist Hospital,,7,7,6,3,0,2,0
070001-NMB Yale New Haven Hospital: St. Raphael Campus,,3,3,3,3,0,0,0
070002-NMB ST FRANCIS HOSP,,19,18,16,7,1,6,0
070005-NMB WATERBURY HOSPITAL,,4,4,3,1,0,1,0
070006-NMB STAMFORD HOSPITAL,,6,6,5,2,0,1,0
070007-NMB LAWRENCE MEM HOSPS,,1,1,1,1,0,0,0
070010-NMB BRIDGEPORT HOSPITAL,,6,5,6,0,0,0,0
070016-NMB ST. MARY'S HOSPITAL (CT),,3,2,3,1,0,0,0
070017-NMB Midstate Medical Center,,4,2,4,1,0,2,0
070020-NMB MIDDLESEX MEM HOSP,,5,5,4,0,1,1,0
070022-TX1 YALE NEW HAVEN HOSPITAL,,33,31,29,7,2,4,1
070024-NMB WILLIAM W BACKUS HOSP,,4,3,2,0,0,0,0
070025-TX1 HARTFORD HOSP,,45,43,34,11,2,4,0
070028-NMB ST. VINCENT'S MEDICAL CENTER (CT),,7,6,6,3,0,1,0
070029-NMB BRISTOL HOSP,,2,2,2,0,0,0,0
070031-NMB GRIFFIN HOSPITAL,,3,3,3,1,0,1,0
070033-NMB DANBURY HOSPITAL,,9,8,8,1,1,1,0
070034-NMB NORWALK HOSPITAL,,4,3,4,2,0,1,0
070035-NMB The Hospital of Central Connecticut - New Britain,,10,10,10,5,0,1,0
070036-NMB JOHN DEMPSEY HOSP,,5,5,4,0,0,0,0
073300-NMB NEWINGTON CHILDRENS HOSP,,2,2,2,2,2,1,0
080001-N02 WILMINGTON HOSPITAL,,1,1,1,0,0,0,0
080001-NMB CHRISTIANA CARE HOSPITAL,,59,55,46,12,5,14,0
080003-NMB,,4,4,4,4,0,3,0
080004-NMB BAY HEALTH MED CTR KENT DIV.,,8,8,6,1,0,2,0
080006-NMB NANTICOKE MEMORIAL HOSP INC,,4,4,4,1,0,1,0
080007-NMB BEEBE MEDICAL CENTER,,1,1,1,0,0,0,0
083300-TX1 A.I. DuPONT HOSPITAL FOR CHILDREN,,3,3,3,1,2,1,1
090001-TX1 GEORGE WASHINGTON UNIV HOSP,,19,16,15,4,1,4,0
090003-TX1 HOWARD UNIVERSITY HOSPITAL,,1,1,0,0,0,0,0
090004-TX1 GEORGETOWN UNIV HOSP,,9,8,6,2,0,2,0
090005-NMB SIBLEY MEMORIAL HOSP,,1,1,1,0,0,0,0
090011-TX1 WASHINGTON HOSP CTR,,24,21,15,4,1,5,0
093300-TX1 CHILDREN'S NATIONAL MEDICAL CENTER,,6,6,5,4,0,1,0
100001-TX1 SHANDS JACKSONVILLE,,33,29,29,10,2,6,1
100002-NMB BETHESDA MEM HOSP,,2,2,2,2,1,1,0
100006-N01 ORHS-DR. P. PHILLIPS HOSPITAL,,3,3,3,1,0,1,0
100006-N02 ORHS-ARNOLD PALMER HOSPITAL,,6,6,5,3,2,1,0
100006-NMB ORLANDO REGIONAL MEDICAL CTR,,43,38,40,15,4,17,0
100007-N01 FLORIDA HOSPITAL-ALTAMONTE,,4,3,3,0,0,0,0
100007-N02 CELEBRATION HEALTH-FLORIDA HOSPITAL,,6,6,5,1,0,1,0
100007-N03 FLORIDA HOSPITAL-EAST ORLANDO,,10,10,8,6,2,3,0
100007-N04 FLORIDA HOSPITAL-KISSIMMEE,,1,1,1,0,0,0,0
100007-TX1 FLORIDA HOSPITAL - ORLANDO,,29,27,21,7,1,7,0
100008-NMB BAPTIST HOSP OF MIAMI INC,,3,3,3,0,0,2,0
100009-NMB University of Miami Hospital (Cedar's),,1,1,0,0,0,1,0
100012-NMB LEE MEMORIAL HOSPITAL,,3,3,2,1,0,0,0
100014-TX1 BERT FISH MEDICAL CENTER,,1,1,1,0,0,0,0
100017-TX1 HALIFAX MEDICAL CENTER,,17,16,15,5,1,9,0
100018-NMB NCH Healthcare System - North Naples Hosp Campus,,1,1,1,1,0,0,0
100019-N01 HEALTH FIRST PALM BAY,,3,2,2,0,0,0,0
100019-NMB HEALTH FIRST - HOLMES REGIONAL MEDICAL CENTER,,15,15,13,2,0,4,0
100022-TX1 JACKSON MEMORIAL HOSP,,23,23,18,10,3,6,2
100023-NMB CITRUS MEMORIAL HEALTH SYSTEM,,1,1,1,0,0,1,0
100025-NMB SACRED HEART HEALTH SYSTEM - PENSACOLA,,43,42,36,14,4,17,0
100026-NMB BAY MEDICAL CENTER,,15,15,12,5,2,4,1
100028-NMB PARRISH MEDICAL CENTER,,1,1,1,0,0,0,0
100030-NMB HEALTH CENTRAL,,2,2,2,2,1,2,0
100032-NMB BAYFRONT HEALTH ST. PETERSBURG,,19,18,17,6,2,7,0
100034-NMB MOUNT SINAI MEDICAL CENTER,,3,3,1,0,0,0,0
100035-NMB MANATEE MEMORIAL HOSPITAL,,9,7,7,1,0,2,0
100038-NMB MEMORIAL REGIONAL HEALTHCARE SYSTEM,,16,16,13,9,2,8,0
100039-NMB BROWARD HEALTH  MED CTR,,10,9,8,6,0,4,0
100040-NMB ST VINCENTS MEDICAL CENTER RIVERSIDE,,7,5,6,2,0,1,0
100043-NMB MEASE DUNEDIN HOSPITAL,,2,2,2,0,0,0,0
100044-NMB MARTIN MEMORIAL HOSP,,1,1,1,0,0,0,0
100045-NMB FLORIDA HOSPITAL - DELAND,,2,2,2,0,0,0,0
100046-NMB FLORIDA HOSPITAL ZEPHYRHILLS,,2,1,2,0,0,0,0
100050-NMB PALM SPRINGS GENERAL HOSP,,1,1,1,0,0,0,0
100052-NMB WINTER HAVEN HOSPITAL/REGENCY,,11,10,7,1,0,2,0
100053-NMB HIALEAH HOSP,,1,1,1,1,0,1,0
100057-NMB FLORIDA HOSPITAL - WATERMAN,,2,2,0,0,0,0,0
100061-NMB MERCY HOSP,,2,2,2,1,0,2,0
100062-NMB MUNROE REGIONAL MEDICAL CENTER,,7,6,6,2,1,3,0
100063-NMB MORTON PLANT NORTH BAY HOSPITAL (NPR),,1,1,1,0,0,0,0
100067-NMB ST. ANTHONY'S HOSPITAL (LLFL),,6,6,3,1,0,0,0
100069-NMB FLORIDA HOSPITAL CARROLLWOOD,,3,2,3,2,1,1,0
100071-NMB BAYFRONT HEALTH BROOKSVILLE,,2,2,2,1,0,1,0
100072-NMB FLORIDA HOSPITAL - FISH MEMORIAL,,4,4,3,2,1,2,0
100073-NMB HOLY CROSS HOSP,,1,1,1,0,1,1,0
100075-N01 ST. JOSEPH'S SOUTH,,3,2,3,1,0,0,0
100075-NMB ST. JOSEPH'S HOSPITAL - NORTH,,4,3,3,0,0,0,0
100075-TX1 ST. JOSEPH'S HOSPITAL,,29,23,29,9,4,5,0
100077-NMB BAYFRONT HEALTH PORT CHARLOTTE MEDICAL CTR (fka P,,4,4,3,2,0,2,0
100080-NMB JOHN F KENNEDY MEMORIAL HOSP,,10,10,9,2,2,6,0
100084-NMB LEESBURG REGIONAL MEDICAL CTR,,5,4,3,1,0,2,0
100086-NMB BROWARD HEALTH NORTH,,17,14,15,8,3,8,0
100087-NMB SARASOTA MEMORIAL HOSPITAL,,20,19,16,4,2,3,0
100088-N01 WOLFSON CHILDRENS HOSPITAL,,4,4,3,3,0,0,0
100088-N02 BAPTIST MEDICAL CENTER SOUTH,,1,1,1,0,1,1,0
100088-NMB BAPTIST MEDICAL CENTER - JACKSONVILLE,,7,5,7,1,1,1,0
100090-NMB FLAGLER HOSPITAL,,3,3,2,0,0,0,0
100093-NMB BAPTIST HOSPITAL - PENSACOLA,,11,9,5,1,0,1,0
100105-NMB INDIAN RIVER MEMORIAL HOSP,,3,3,3,0,0,1,0
100109-NMB FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,,2,2,1,0,0,0,0
100110-NMB OSCEOLA REGIONAL MEDICAL CENTER,,15,13,13,5,2,6,0
100113-TX1 SHANDS AT UF,,29,24,26,11,3,7,0
100114-NMB Jackson North Medical Center,,1,1,1,0,0,0,0
100117-NMB BAPTIST MEDICAL CENTER - BEACHES,,4,3,2,1,0,0,0
100121-NMB BARTOW REGIONAL MEDICAL CENTER,,2,2,2,1,0,1,0
100122-NMB NORTH OKALOOSA MEDICAL CENTER,,2,1,2,0,0,0,0
100125-NMB HOMESTEAD HOSPITAL,,2,2,2,1,0,0,0
100127-NMB MORTON PLANT HOSPITAL,,15,15,13,4,0,5,0
100128-TX1 TAMPA GENERAL HOSPITAL,,35,33,28,14,4,9,0
100131-NMB AVENTURA HOSPITAL,,3,3,1,0,0,1,0
100132-NMB SOUTH FLORIDA BAPTIST HOSPITAL,,3,1,3,1,0,0,0
100135-TX1 TALLAHASSEE MEMORIAL HOSPITAL,,22,20,20,3,4,6,0
100137-NMB HEART OF FLORIDA REGIONAL MEDICAL CENTER,,1,1,0,0,0,0,0
100151-TX1 MAYO CLINIC-JACKSONVILLE,,8,7,4,0,0,1,0
100157-NMB LAKELAND REGIONAL HEALTH,,29,28,23,10,0,3,0
100161-NMB CENTRAL FLORIDA  REGIONAL HOSPITAL,,8,8,7,3,1,3,0
100168-NMB BOCA RATON COMMUNITY HOSP INC,,6,6,5,1,0,2,0
100169-NMB FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,,8,7,4,1,0,0,0
100173-NMB FLORIDA HOSPITAL TAMPA (UCH-Fletcher),,8,8,7,2,1,1,0
100176-NMB PALM BEACH GARDENS COMMUNITY,,2,2,2,1,1,0,0
100177-NMB HEALTH FIRST - CAPE CANAVERAL HOSP,,2,2,2,1,1,2,0
100179-NMB MEMORIAL MEDICAL CENTER - JACKSONVIL,,22,19,19,4,0,8,0
100187-NMB PALMETTO GENERAL HOSP,,5,5,4,1,0,1,0
100189-NMB NORTHWEST MEDICAL CENTER,,7,7,3,1,0,1,0
100191-NMB MEDICAL CENTER OF TRINITY f/k/a COMMUNITY HOSPITA,,1,1,1,0,0,0,0
100200-NMB BROWARD HEALTH IMPERIAL POINT,,3,3,3,2,0,1,0
100204-NMB NORTH FLORIDA REGIONAL MEDICAL CENTER,,5,4,4,1,1,3,0
100206-NMB MEMORIAL HOSPITAL OF TAMPA,,1,0,1,0,0,0,0
100208-NMB JACKSON SOUTH,,10,10,7,5,1,2,0
100209-NMB KENDALL REGIONAL MED CTR,,14,14,13,9,3,6,1
100210-NMB FL MEDICAL CTR,,3,3,3,1,1,2,1
100211-NMB BAYFRONT HEALTH DADE CITY (Pasco),,1,1,1,0,0,0,0
100212-N01 WEST MARION COMMUNITY HOSPITAL,,3,2,3,1,0,1,0
100212-NMB OCALA REGIONAL MEDICAL CENTER,,28,24,27,8,3,5,0
100213-NMB BLAKE MEDICAL CENTER,,12,12,10,5,2,6,0
100220-TX1 SOUTHWEST FLORIDA  REGIONAL MEDICAL CENTER,,36,34,31,13,2,10,0
100223-NMB FORT WALTON BEACH MEDICAL CENTER,,17,13,15,6,0,3,0
100226-NMB ORANGE PARK MEDICAL CENTER INC,,24,20,21,3,1,3,0
"100228-NMB Westside Regional (Plantation, FL)",,3,3,3,1,0,0,0
100231-NMB WEST FLORIDA HOSPITAL,,9,8,8,1,0,3,0
100234-NMB WEST PALM HOSPITAL,,1,1,0,0,0,0,0
100236-NMB FAWCETT MEMORIAL HOSPITAL,,8,7,7,2,0,3,0
100238-NMB NORTHSIDE HOSPITAL - St. Pete,,8,7,7,1,0,0,0
100242-NMB GULF COAST MEDICAL CENTER,,5,4,3,0,0,0,0
100243-NMB BRANDON REGIONAL HOSPITAL,,12,12,9,3,0,4,0
100244-NMB CAPE CORAL HOSPITAL,,3,2,2,1,0,0,0
100246-NMB LAWNWOOD MEDICAL CTR INC,,11,11,11,3,0,5,0
100248-NMB LARGO MEDICAL CENTER - 14th STREET,,11,10,8,3,1,3,0
100249-NMB SEVEN RIVERS REGIONAL MEDICAL CENTER,,1,1,0,0,0,0,0
100253-NMB JUPITER MEDICAL CENTER,,1,1,1,0,0,0,0
100254-NMB CAPITAL REGIONAL MEDICAL CENTER,,1,1,1,0,0,0,0
100256-NMB REGIONAL MEDICAL CENTER BAYONET POINT,,24,23,19,6,1,5,0
100258-NMB DELRAY COMMUNITY HOSPITAL,,12,11,9,2,1,7,0
100264-NMB OAK HILL HOSPITAL,,2,1,2,0,0,0,0
100265-NMB MEASE COUNTRYSIDE HOSPITAL,,5,4,5,1,0,0,0
100266-NMB GULF BREEZE HOSPITAL,,1,1,1,0,0,0,0
100267-NMB ENGLEWOOD COMMUNITY HOSPITAL,,1,0,1,0,0,0,0
100269-NMB PALMS WEST HOSP,,5,5,5,0,0,2,0
100275-NMB WELLINGTON REGIONAL MED CTR,,3,3,2,1,0,2,0
100276-NMB BROWARD HEALTH CORAL SPRINGS,,2,1,1,1,1,1,1
100281-NMB MEMORIAL HOSPITAL WEST,,1,1,0,0,0,0,0
100286-NMB Physicians Regional Medical Center - Pine Ridge,,1,1,0,0,0,0,0
100289-TX1 CLEVELAND CLINIC FLORIDA WESTON,,3,2,2,1,0,1,0
100291-NMB WUESTHOFF MEDICAL CENTER MELBOURNE,,1,1,1,1,0,1,0
100292-NMB SACRED HEART HOSPITAL  EMERALD COAST,,1,1,0,0,0,1,0
100299-NMB LAKEWOOD RANCH MEDICAL CENTER,,1,1,1,0,0,1,0
100307-NMB ST VINCENTS MEDICAL CENTER SOUTHSIDE,,1,0,1,0,0,0,0
100321-NMB St Vincents Medical Center - Clay County,,2,2,2,1,0,1,0
100357-NMB HEALTH PARK MEDICAL CENTER (Bass Road),,4,4,3,0,0,0,0
100999-NMB FLORIDA HOSPITAL WESLEY CHAPEL,,1,1,1,0,0,0,0
103300-TX1 JOHNS HOPKINS ALL CHILDREN'S HOSPITAL,,5,5,3,1,0,1,0
103304-NMB Nemours Children's Hospital - Orlando,,1,1,1,0,0,0,0
10US02-NMB Viera Hospital,,3,3,2,0,0,1,0
110001-NMB Hamilton Medical Center,,2,1,2,0,0,0,0
110003-NMB Mayo Clinic Health System,,3,3,2,0,0,0,0
110007-NMB Phoebe Putney Memorial Hospital - Main Campus,,3,3,2,1,0,1,0
110008-NMB Northside Hospital - Cherokee,,4,4,3,1,0,0,0
110010-TX1 Emory University Hospital,,14,13,10,3,0,3,0
110011-NMB Tanner Medical Center - Carrollton,,3,3,3,2,1,1,0
110015-NMB Tanner Medical Center - Villa Rica,,4,4,4,2,0,2,0
110016-NMB Wellstar West Georgia Health System,,5,5,3,0,0,2,0
110018-NMB Piedmont Newton Medical Center,,1,1,1,1,0,0,0
110020-NMB Piedmont Newnan Hospital,,3,3,3,2,1,1,0
110024-NMB St. Joseph's Hospital / Candler - Reynolds St,,3,3,3,1,0,0,0
110025-NMB Southeast Georgia Health System - Brunswick Campu,,5,5,4,3,0,2,0
110028-TX1 University Hospital - Augusta,,7,7,6,1,0,1,0
110029-NMB Northeast Georgia Medical Center,,14,14,11,1,0,5,0
110030-NMB Cartersville Medical Center,,5,4,4,0,0,1,0
110034-TX1 Georgia Regents Health System,,22,21,19,8,3,5,0
110035-NMB WellStar Kennestone Hospital,,32,30,26,7,2,14,0
110036-NMB Memorial University Medical Center - Savannah,,48,45,43,22,6,16,1
110038-NMB Archbold Memorial Hospital,,2,2,2,0,0,0,0
110042-NMB WELLSTAR PAULDING HOSPITAL,,2,2,2,0,0,1,0
